Pos,Pts,Team name,Rg,Best,2nd best,3rd best
115,0, Bonehorn,NC,9 (0) NC Reg,,
116,0, Mota Legal,NW,8 (0) NW Reg,,
117,0, Southern Hospitality,SE,11 (0) SE Reg,,
118,0, Climax,NC,6 (0) NC Reg,,
119,0, Grantham U,MA,9 (0) MA Reg,,
120,0, Kentucky Flying Circus,GL,8 (0) GL Reg,,
121,0, Queen City Thunder,SE,15 (0) SE Reg,,
122,0, Omen,SE,4 (0) SE Reg,,
123,0, Red Tide,NE,7 (0) NE Reg,,
124,0, Nomo Fogoho,SC,12 (0) SC Reg,,
125,0, Riverside,SC,9 (0) SC Reg,,
126,0, Shrimp Boat,SE,9 (0) SE Reg,,
127,0, Genny Tall Boys,NE,14 (0) NE Reg,,
128,0, Dark or Light,NE,5 (0) NE Reg,,
129,0, Big Wrench,NE,9 (0) NE Reg,,
130,0, Hippie Mafia,,35 (0) Heavyweights,,
131,0, Jockamo,SE,13 (0) SE Reg,,
132,0, Garden State,MA,3 (0) MA Reg,,
133,0, John Doe,MA,4 (0) MA Reg,,
134,0, Grass Knuckles,SC,7 (0) SC Reg,,
135,0, Vicious SharkForce,SE,14 (0) SE Reg,,
136,0, Hynotoad,MA,7 (0) MA Reg,,
137,0, Shinigami,,33 (0) Heavyweights,,
138,0, Ironmen,SE,11 (0) SE Reg,,
139,0, South Portland Knife Fight,NW,6 (0) NW Reg,,
